;data_aplicacao_vacina;TOTAL_DOSES;1DOSE;2DOSE;DOSE_UNI;DOSE_ADC;PFIZER;ASTRAZENECA_FIOCRUZ;SINOVAC_BUTANTAN;JANSSEN;FEMININO;MASCULINO;BRANCA;PRETA;PARDA;AMARELA;SEM INFORMACAO;menos 19 anos;20 a 39 anos;40 a 59 anos;60 a 79 anos;mais 80 anos
125;2021-05-21;1846;1715;130;0;1;93;1653;100;0;994;852;1167;71;65;44;498;41;676;980;138;11
126;2021-05-22;448;402;46;0;0;61;361;26;0;251;197;284;13;17;14;120;6;188;211;35;8
127;2021-05-23;166;165;1;0;0;1;164;1;0;90;76;87;7;7;2;63;5;60;86;15;0
128;2021-05-24;1330;1216;114;0;0;71;1207;52;0;724;606;817;60;62;30;360;18;449;710;116;37
129;2021-05-25;1442;1305;137;0;0;139;1242;61;0;784;658;887;63;52;40;400;12;491;780;102;57
130;2021-05-26;2441;2328;113;0;0;88;2317;36;0;1744;697;1503;103;92;56;685;25;1014;1282;73;47
131;2021-05-27;1948;1814;134;0;0;101;1806;41;0;993;955;1090;77;73;35;673;11;544;1255;85;53
132;2021-05-28;4756;4670;86;0;0;80;4646;30;0;3248;1508;2882;215;156;134;1369;80;2138;2446;55;37
133;2021-05-29;4045;3995;50;0;0;137;3895;13;0;2718;1327;2675;232;175;122;841;40;1453;2413;121;18
134;2021-05-30;35;33;2;0;0;3;32;0;0;17;18;15;0;0;1;19;0;22;11;0;2
135;2021-05-31;2266;2198;68;0;0;38;2206;22;0;1221;1045;1288;74;83;48;773;28;1026;1138;46;28
136;2021-06-01;4369;4278;91;0;0;94;4258;17;0;2313;2056;2472;135;110;68;1584;19;1883;2370;51;46
137;2021-06-02;2981;2873;108;0;0;231;2725;25;0;1408;1573;1779;151;94;83;873;113;1435;1349;50;34
138;2021-06-03;746;731;15;0;0;42;701;3;0;424;322;431;26;33;14;242;11;295;414;21;5
139;2021-06-04;1681;1620;61;0;0;1204;462;15;0;1004;677;924;66;55;53;583;11;690;906;56;18
140;2021-06-05;6000;5961;39;0;0;22;5975;3;0;3583;2417;3438;129;150;81;2202;12;278;5617;79;14
141;2021-06-06;477;477;0;0;0;3;473;1;0;268;209;273;12;15;5;171;0;23;448;5;1
142;2021-06-07;3540;3486;54;0;0;61;3446;33;0;1054;2486;2132;109;86;84;1129;10;1252;2213;48;17
143;2021-06-08;5919;5880;39;0;0;59;5841;19;0;2899;3020;3463;166;151;99;2039;18;806;5028;56;11
144;2021-06-09;4413;4381;32;0;0;3564;822;27;0;2276;2137;2521;117;121;87;1567;19;761;3537;86;10
145;2021-06-10;1351;1314;37;0;0;142;1181;28;0;700;651;775;43;56;35;442;13;402;895;34;7
146;2021-06-11;5100;5051;49;0;0;2938;2131;31;0;2813;2287;2901;137;132;75;1854;21;644;4348;76;11
147;2021-06-12;1035;1013;22;0;0;221;804;10;0;585;450;588;36;44;24;343;2;158;845;29;1
148;2021-06-13;45;44;1;0;0;7;38;0;0;20;25;23;0;0;3;19;0;8;36;1;0
149;2021-06-14;1501;1471;30;0;0;113;1360;28;0;763;738;900;59;55;42;444;8;308;1148;37;0
150;2021-06-15;1371;1329;42;0;0;106;1239;26;0;671;700;793;58;51;42;427;11;344;969;42;5
151;2021-06-16;1311;1256;55;0;0;453;785;73;0;677;634;729;57;70;42;413;11;340;908;45;7
152;2021-06-17;637;591;46;0;0;143;424;70;0;311;326;324;19;31;27;236;3;179;435;16;4
153;2021-06-18;507;474;33;0;0;58;365;84;0;252;255;267;13;32;17;178;2;162;323;17;3
154;2021-06-19;5927;5889;38;0;0;4740;133;1054;0;3454;2473;3443;126;163;104;2089;15;825;4999;86;2
155;2021-06-20;102;91;10;1;0;41;54;6;1;48;54;54;7;8;4;29;1;23;70;7;1
156;2021-06-21;1854;1781;73;0;0;1126;154;574;0;1119;735;1093;48;76;56;581;12;480;1307;52;3
157;2021-06-22;3072;518;2552;2;0;258;2712;100;2;1812;1260;1765;70;75;55;1106;2;322;544;2197;7
158;2021-06-23;1039;396;643;0;0;130;804;105;0;652;387;570;29;52;26;360;19;395;400;223;2
159;2021-06-24;472;310;162;0;0;105;287;80;0;267;205;258;19;21;20;154;7;171;230;63;1
160;2021-06-25;4070;3885;160;25;0;630;302;3112;26;2465;1605;2420;130;134;82;1302;31;857;3098;82;2
161;2021-06-26;7512;5066;65;2381;0;4906;109;113;2384;4271;3241;4364;239;237;141;2530;27;790;6566;122;7
162;2021-06-27;37;24;1;12;0;18;6;1;12;17;20;18;0;3;1;15;0;9;27;1;0
163;2021-06-28;1373;596;121;656;0;311;209;196;657;705;668;797;47;47;40;442;11;335;972;54;1
164;2021-06-29;722;569;91;62;0;235;250;174;63;401;321;383;38;22;23;256;3;251;423;44;1
165;2021-06-30;655;504;97;54;0;126;272;203;54;386;269;374;18;42;19;201;5;244;349;57;0
166;2021-07-01;473;383;63;27;0;91;259;95;28;235;238;244;23;27;17;162;0;120;327;26;0
167;2021-07-02;7625;7315;279;31;0;133;7386;71;35;3883;3742;4404;219;237;136;2628;17;567;6967;73;1
168;2021-07-03;9936;6848;3070;18;0;1181;8714;19;22;5479;4457;5927;294;275;187;3251;13;292;6550;3065;16
169;2021-07-04;41;29;8;4;0;10;24;0;7;25;16;22;0;4;2;13;0;13;22;6;0
170;2021-07-05;1493;900;559;34;0;408;979;70;36;883;610;894;59;52;39;449;8;505;636;339;5
171;2021-07-06;14765;4419;299;10045;2;4190;496;31;10048;7813;6952;8529;422;463;276;5070;29;1001;13434;293;8
172;2021-07-07;2271;584;1016;670;1;404;1163;31;673;1240;1031;1226;66;69;51;859;14;678;767;809;3
173;2021-07-08;2134;733;1201;200;0;526;1376;31;201;1175;959;1204;61;62;43;764;15;648;467;1002;2
174;2021-07-09;4289;996;3094;199;0;842;3215;33;199;2305;1984;2436;104;119;56;1574;16;1031;417;2816;9
175;2021-07-10;6291;6071;116;104;0;5623;171;386;111;3277;3014;3760;229;253;140;1908;11;3310;2839;130;1
176;2021-07-11;85;54;7;24;0;17;40;1;27;36;49;51;3;3;2;26;0;53;26;6;0
177;2021-07-12;5422;538;4810;74;0;363;4834;151;74;3138;2284;3184;131;110;67;1930;15;584;363;4453;7
178;2021-07-13;3372;391;2927;54;0;250;2949;119;54;1873;1499;2035;93;79;60;1105;4;397;248;2710;13
179;2021-07-14;1646;366;1242;37;1;273;1241;94;38;897;749;938;46;54;38;569;16;373;225;1027;5
180;2021-07-15;1888;368;1498;22;0;231;1548;87;22;1173;715;1071;44;57;35;679;9;743;416;720;0
181;2021-07-16;9030;7615;1360;55;0;156;8638;181;55;4551;4479;5372;277;333;205;2841;100;6194;1981;751;4
182;2021-07-17;3576;568;2993;15;0;64;2934;563;15;2057;1519;2137;113;100;74;1150;12;714;975;1866;9
183;2021-07-18;73;62;8;3;0;9;49;12;3;41;32;34;2;8;0;29;0;55;14;4;0
184;2021-07-19;2558;660;1880;18;0;68;1915;557;18;1383;1175;1458;80;89;58;873;12;814;1065;664;3
185;2021-07-20;1647;411;1228;8;0;47;1193;399;8;929;718;989;43;57;36;522;4;558;563;518;4
186;2021-07-21;1689;467;1209;13;0;37;1271;368;13;983;706;992;50;71;37;539;9;576;545;553;6
187;2021-07-22;9507;9107;390;10;0;1441;6666;1390;10;4829;4678;5645;465;405;263;2727;65;7662;1533;242;5
188;2021-07-23;3792;960;2817;15;0;115;1597;2065;15;2174;1618;2240;120;122;66;1241;25;1381;1876;508;2
189;2021-07-24;2912;384;2526;2;0;91;2253;566;2;1649;1263;1808;104;90;51;858;21;703;1054;1133;1
190;2021-07-25;65;50;14;1;0;6;47;11;1;29;36;40;1;4;2;18;0;45;12;8;0
191;2021-07-26;1946;332;1602;11;1;43;1440;452;11;1071;875;1158;63;53;42;630;15;593;628;707;3
192;2021-07-27;2134;377;1752;5;0;663;1055;411;5;1224;910;1241;61;73;43;716;19;617;568;926;4
193;2021-07-28;2540;303;2224;13;0;1167;948;412;13;1465;1075;1481;68;67;54;869;22;612;563;1338;5
194;2021-07-29;5072;2778;2291;3;0;1490;999;2580;3;2780;2292;3023;196;214;135;1503;62;2513;1012;1479;6
195;2021-07-30;5086;2011;3072;3;0;3502;1088;493;3;2685;2401;2943;174;182;108;1677;43;2007;1031;2000;5
196;2021-07-31;2094;1153;940;1;0;541;684;868;1;1148;946;1281;88;106;54;564;21;1033;634;402;4
197;2021-08-01;55;34;19;2;0;15;16;22;2;31;24;32;4;3;1;15;0;38;16;1;0
198;2021-08-02;2820;717;2102;1;0;871;1589;359;1;1538;1282;1704;114;98;72;830;25;1142;1190;462;1
199;2021-08-03;8434;7989;444;1;0;6610;281;1542;1;4371;4063;5182;361;356;280;2251;28;7174;1090;139;3
200;2021-08-04;4469;691;3776;2;0;2449;1550;468;2;2624;1845;2766;152;151;93;1307;28;1433;2537;467;4
201;2021-08-05;4440;525;3909;6;0;2527;1584;323;6;2472;1968;2698;123;116;76;1426;23;1388;2677;349;3
202;2021-08-06;7168;6205;961;2;0;5535;428;1203;2;4051;3117;4442;309;380;240;1792;47;5890;1086;142;3
203;2021-08-07;6423;621;5800;2;0;3635;2520;266;2;3851;2572;3997;224;181;109;1911;67;2477;3558;319;2
204;2021-08-08;61;33;28;0;0;20;28;13;0;26;35;36;1;0;4;20;1;43;14;2;1
205;2021-08-09;4175;789;3385;1;0;1426;2518;230;1;2259;1916;2480;150;130;109;1305;46;1899;2009;220;1
206;2021-08-10;12634;12015;615;4;0;7828;4600;202;4;6191;6443;7773;507;607;397;3347;59;11431;1022;120;2
207;2021-08-11;6335;2456;3877;2;0;2487;3568;278;2;3320;3015;3718;282;276;139;1920;53;3778;2328;173;3
208;2021-08-12;6497;5688;803;6;0;5604;703;184;6;3247;3250;3982;322;347;272;1571;32;5683;713;65;4
209;2021-08-13;5729;828;4893;7;1;1140;4380;202;7;3502;2227;3375;195;216;154;1789;65;2404;3032;228;0
210;2021-08-14;10628;10396;232;0;0;8703;183;1742;0;5326;5302;6476;469;575;343;2762;50;10004;521;51;2
211;2021-08-15;129;97;32;0;0;80;27;22;0;61;68;65;7;5;8;43;32;73;23;1;0
212;2021-08-16;5634;788;4844;2;0;617;4484;531;2;2777;2857;3306;217;178;146;1786;44;2126;3224;238;2
213;2021-08-17;5657;5110;525;22;0;2461;339;2835;22;2748;2909;3395;334;403;225;1295;66;5058;478;52;3
214;2021-08-18;8391;7870;520;1;0;6552;871;967;1;4132;4259;5010;364;501;287;2227;67;7804;472;47;1
215;2021-08-19;7253;652;6594;7;0;658;5654;934;7;3906;3347;4316;278;216;158;2285;107;2649;4248;245;4
